anon_screen_name,QuzAttmptAvg1,QuzCount1,QuzAvSco1,QuzLagMean1,LecLag1,LecCount1,VidActCount1,eff1,QuzAttmptAvg2,QuzCount2,QuzAvSco2,QuzLagMean2,LecLag2,LecCount2,VidActCount2,eff2,QuzAttmptAvg3,QuzCount3,QuzAvSco3,QuzLagMean3,LecLag3,LecCount3,VidActCount3,eff3,QuzAttmptAvg4,QuzCount4,QuzAvSco4,QuzLagMean4,LecLag4,LecCount4,VidActCount4,eff4,QuzAttmptAvg5,QuzCount5,QuzAvSco5,QuzLagMean5,LecLag5,LecCount5,VidActCount5,eff5,QuzAttmptAvg6,QuzCount6,QuzAvSco6,QuzLagMean6,LecLag6,LecCount6,VidActCount6,eff6,QuzAttmptAvg7,QuzCount7,QuzAvSco7,QuzLagMean7,LecLag7,LecCount7,VidActCount7,eff7,QuzAttmptAvg8,QuzCount8,QuzAvSco8,QuzLagMean8,LecLag8,LecCount8,VidActCount8,eff8,Finalgrade,FinalScore,Class,EngStatus
5f9f99075c8c144bdf84688986bdcb026c1db018,1,37.5,100,63619140,27745110,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,Fail,BelowAverage,Time<10Mins
6144f25ca887768c9b7479567421be38ba17cce6,1,12.5,0,15100740,0,0,58,2347,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9658,0,0,0,0,0,0,0,0,0.06,Fail,AverageEngaged,Time<1hour
617a4cdaa7f20086ccecfe92dd41637993687d28,1,25,64.585,28647540,31936840,37.5,0,1101,2,11.11111111,33.33,33858360,31027140,7.142857143,0,0,2.333333333,50,75.79333333,34290920,34210160,42.85714286,0,0,1,22.22222222,75,17771730,0,0,0,0,1,77.77777778,71.42857143,6208825.714,4830,22.22222222,0,0,1.833333333,60,65.00166667,9914360,0,0,0,0,1,50,100,2544460,0,0,0,0,1,83.33333333,93.334,17553516,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
654f995ebf1c5799057a51ca210b2c7b112537d0,0,0,0,0,0,0,3,0,2,11.11111111,66.67,36203220,0,0,18,0,2.25,66.66666667,81.845,31484265,0,0,0,2097,1,33.33333333,0,31684120,0,0,86,32156,1,66.66666667,33.33333333,34998410,0,0,0,20099,2,60,44.44666667,32996560,0,0,0,24238,0,0,0,0,0,0,0,23279,0,0,0,0,0,0,0,33509,0.35,Fail,AboveAvgEngaged,Time >=1 hour
655679b26d4ac843f5aa43f69a0ae9aa1b68f77e,0,0,0,0,0,0,116,40187,0,0,0,0,0,0,36,75320,3,16.66666667,85.71,21854040,0,0,0,34456,0,0,0,0,0,0,829,6552,0,0,0,0,24800580,22.22222222,122,1459,0,0,0,0,0,0,0,37817,0,0,0,0,0,0,0,35261,0,0,0,0,0,0,0,42138,0.59,Pass,AboveAvgEngaged,Time >=1 hour
65cefcc2090e9aed1ae71f83659ef70d3b71cccd,1,37.5,88.89,56744580,56742660,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,0.02,Fail,BelowAverage,Time<10Mins
67e388dbeef974394c7ac98dbda95eb8b55af558,1,37.5,83.33333333,21167520,16840260,12.5,19,8725,1,22.22222222,100,32420880,460170,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,0,0,0,0,0,0,0.06,Fail,AverageEngaged,Time<30Mins
6871f3f001cd279fa822d34c991c1b0e68808a0e,1.5,25,68.75,44064720,43166020,37.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6007,0,0,0,0,0,0,0,10904,0,0,0,0,0,0,0,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,Fail,AverageEngaged,Time<1hour
6a32c674c4bafa733a5cc0d0e540592e5dbd4d57,1,12.5,66.67,35548860,0,12.5,0,1581,0,0,0,0,0,7.142857143,0,1,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
6aba539631c2cf5282631c03755bf4cc9efcefc5,1.666666667,37.5,88.89,55013460,50223870,50,8,10121,1.75,44.44444444,54.1675,71864085,840,7.142857143,0,1986,0,0,0,0,0,0,0,0,1,11.11111111,100,-22206060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,Fail,AverageEngaged,Time<30Mins
6c842acb9eed000b72a8aca4805e12c5ff20a50d,1,12.5,66.67,32469720,54395569.09,137.5,39,298,0,0,0,0,0,0,0,3959,0,0,0,0,0,0,0,7079,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,Fail,AverageEngaged,Time<30Mins
70c390da2423d07ac325653dbb05afecc9ed57e3,1,50,91.6675,32210415,42945420,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,Fail,BelowAverage,Time<10Mins
